batch,x,y,z,brand,model,angle,sampleNumber,date,c4:41:1e:fa:07:db#1_value,c4:41:1e:fa:07:db#1_error,c4:41:1e:fa:07:db#1_samples_averaged,c4:41:1e:fa:07:da#1_value,c4:41:1e:fa:07:da#1_error,c4:41:1e:fa:07:da#1_samples_averaged,c4:41:1e:fa:07:d9#1_value,c4:41:1e:fa:07:d9#1_error,c4:41:1e:fa:07:d9#1_samples_averaged,cc:f4:11:47:ef:eb#1_value,cc:f4:11:47:ef:eb#1_error,cc:f4:11:47:ef:eb#1_samples_averaged,cc:f4:11:47:ef:e7#1_value,cc:f4:11:47:ef:e7#1_error,cc:f4:11:47:ef:e7#1_samples_averaged
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,0,350355639656,-100.0,,0,7.23,0.0,1,-100.0,,0,-100.0,,0,10.598,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,1,350684630802,-100.0,,0,8.608,0.0,1,-100.0,,0,75.519,0.0,1,9.768,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,2,351022844083,-100.0,,0,7.129,0.0,1,76.759,0.0,1,-100.0,,0,8.332,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,3,351340438926,-100.0,,0,8.525,0.0,1,76.994,0.0,1,74.816,0.0,1,8.244,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,4,351667861583,-100.0,,0,8.754,0.0,1,75.548,0.0,1,-100.0,,0,8.342,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,5,351999241062,-100.0,,0,6.903,0.0,1,-100.0,,0,73.293,0.0,1,9.279,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,6,352341269864,-100.0,,0,7.836,0.0,1,-100.0,,0,-100.0,,0,8.752,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,7,352685039968,-100.0,,0,8.739,0.0,1,-100.0,,0,74.23,0.0,1,8.449,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,8,353040068561,-100.0,,0,8.882,0.0,1,-100.0,,0,74.347,0.0,1,9.191,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,9,353412091582,-100.0,,0,8.1,0.0,1,-100.0,,0,-100.0,,0,9.084,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,10,353747060332,-100.0,,0,7.299,0.0,1,75.958,0.0,1,74.582,0.0,1,7.453,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,11,354095574863,-100.0,,0,8.466,0.0,1,-100.0,,0,75.636,0.0,1,9.123,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,12,354447752154,-100.0,,0,7.812,0.0,1,-100.0,,0,73.644,0.0,1,8.225,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,13,354805825488,-100.0,,0,6.908,0.0,1,77.814,0.0,1,-100.0,,0,7.375,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,14,355156619602,-100.0,,0,7.929,0.0,1,-100.0,,0,-100.0,,0,7.287,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,15,355489008612,-100.0,,0,6.864,0.0,1,-100.0,,0,72.941,0.0,1,7.297,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,16,355830599498,-100.0,,0,8.154,0.0,1,78.166,0.0,1,74.347,0.0,1,9.064,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,17,356183661581,-100.0,,0,8.403,0.0,1,-100.0,,0,73.527,0.0,1,7.395,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,18,356539390904,-100.0,,0,7.958,0.0,1,-100.0,,0,-100.0,,0,8.898,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,19,356875944133,-100.0,,0,7.158,0.0,1,-100.0,,0,73.761,0.0,1,9.016,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,20,357235605747,-100.0,,0,7.191,0.0,1,-100.0,,0,-100.0,,0,7.658,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,21,357583498768,-100.0,,0,7.133,0.0,1,-100.0,,0,-100.0,,0,9.445,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,22,357923797778,-100.0,,0,8.316,0.0,1,-100.0,,0,75.168,0.0,1,8.166,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,23,358297631424,-100.0,,0,8.798,0.0,1,-100.0,,0,-100.0,,0,7.639,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,24,358633392934,-100.0,,0,7.113,0.0,1,-100.0,,0,72.472,0.0,1,7.492,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,25,358992933090,-100.0,,0,6.996,0.0,1,-100.0,,0,-100.0,,0,7.844,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,26,359347347569,-100.0,,0,8.266,0.0,1,75.098,0.0,1,73.878,0.0,1,7.492,0.0,1
