batch,x,y,z,brand,model,angle,sampleNumber,date,c4:41:1e:fa:07:db#1_value,c4:41:1e:fa:07:db#1_error,c4:41:1e:fa:07:db#1_samples_averaged,c4:41:1e:fa:07:da#1_value,c4:41:1e:fa:07:da#1_error,c4:41:1e:fa:07:da#1_samples_averaged,c4:41:1e:fa:07:d9#1_value,c4:41:1e:fa:07:d9#1_error,c4:41:1e:fa:07:d9#1_samples_averaged,cc:f4:11:47:ef:eb#1_value,cc:f4:11:47:ef:eb#1_error,cc:f4:11:47:ef:eb#1_samples_averaged,cc:f4:11:47:ef:e7#1_value,cc:f4:11:47:ef:e7#1_error,cc:f4:11:47:ef:e7#1_samples_averaged
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,0,906006093221,5.532,0.0,1,4.582,0.0,1,22.095,0.0,1,16.05,0.0,1,3.882,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,1,906041126557,6.118,0.0,1,4.563,0.0,1,21.645,0.0,1,17.925,0.0,1,3.53,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,2,906074254165,5.297,0.0,1,4.554,0.0,1,22.582,0.0,1,16.05,0.0,1,4.35,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,3,906108643439,5.415,0.0,1,4.704,0.0,1,22.095,0.0,1,16.05,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,4,906142579015,5.532,0.0,1,4.704,0.0,1,18.832,0.0,1,16.987,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,5,906175781988,6.0,0.0,1,4.554,0.0,1,17.407,0.0,1,17.925,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,6,906279063092,6.118,0.0,1,4.554,0.0,1,17.895,0.0,1,16.987,0.0,1,3.882,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,7,906312852991,5.649,0.0,1,4.704,0.0,1,17.895,0.0,1,16.05,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,8,906350491745,5.883,0.0,1,4.47,0.0,1,17.407,0.0,1,16.05,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,9,906405012167,5.649,0.0,1,4.46,0.0,1,25.395,0.0,1,16.987,0.0,1,4.702,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,10,906534788325,5.415,0.0,1,4.573,0.0,1,24.907,0.0,1,17.925,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,11,906597645832,5.766,0.0,1,4.451,0.0,1,23.52,0.0,1,17.925,0.0,1,4.35,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,12,906664800213,6.118,0.0,1,4.441,0.0,1,25.845,0.0,1,16.05,0.0,1,4.702,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,13,906731225272,5.766,0.0,1,4.441,0.0,1,24.457,0.0,1,16.987,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,14,906801948352,5.297,0.0,1,4.47,0.0,1,24.907,0.0,1,16.987,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,15,906862763931,5.063,0.0,1,4.554,0.0,1,24.907,0.0,1,16.05,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,16,906934642480,5.649,0.0,1,4.47,0.0,1,23.52,0.0,1,16.05,0.0,1,4.702,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,17,906995820246,5.649,0.0,1,4.441,0.0,1,23.52,0.0,1,16.05,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,18,907066061555,5.18,0.0,1,4.104,0.0,1,25.395,0.0,1,17.925,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,19,907132690364,5.297,0.0,1,3.879,0.0,1,23.97,0.0,1,16.05,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,20,907270248555,5.297,0.0,1,4.441,0.0,1,23.97,0.0,1,16.987,0.0,1,4.35,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,21,907329006582,5.297,0.0,1,4.554,0.0,1,23.52,0.0,1,16.05,0.0,1,4.585,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,22,907390394765,5.415,0.0,1,4.704,0.0,1,23.97,0.0,1,16.987,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,23,907449379875,5.415,0.0,1,4.001,0.0,1,16.47,0.0,1,16.987,0.0,1,4.35,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,24,907507858631,5.649,0.0,1,4.695,0.0,1,25.395,0.0,1,18.862,0.0,1,4.233,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,25,907555460406,5.18,0.0,1,4.338,0.0,1,23.97,0.0,1,18.862,0.0,1,4.35,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,26,907621151559,5.649,0.0,1,4.226,0.0,1,24.457,0.0,1,16.987,0.0,1,4.35,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,27,907654186510,6.235,0.0,1,4.582,0.0,1,25.395,0.0,1,16.987,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,28,907687241721,5.532,0.0,1,4.704,0.0,1,24.457,0.0,1,17.925,0.0,1,4.702,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,29,907720649277,5.649,0.0,1,4.554,0.0,1,23.52,0.0,1,17.925,0.0,1,3.882,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,30,907851755227,5.766,0.0,1,4.441,0.0,1,24.907,0.0,1,17.925,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,31,907905529087,5.649,0.0,1,4.582,0.0,1,24.907,0.0,1,17.925,0.0,1,3.882,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,32,907964850760,6.235,0.0,1,4.582,0.0,1,23.97,0.0,1,16.05,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,33,908024161130,6.118,0.0,1,3.982,0.0,1,16.02,0.0,1,16.987,0.0,1,4.468,0.0,1
5819,0.0,5.0,0.0,google,Pixel 3a,2.0,34,908083920459,5.415,0.0,1,4.338,0.0,1,24.907,0.0,1,16.987,0.0,1,4.468,0.0,1
