batch,x,y,z,brand,model,angle,sampleNumber,date,c4:41:1e:fa:07:db#1_value,c4:41:1e:fa:07:db#1_error,c4:41:1e:fa:07:db#1_samples_averaged,c4:41:1e:fa:07:da#1_value,c4:41:1e:fa:07:da#1_error,c4:41:1e:fa:07:da#1_samples_averaged,c4:41:1e:fa:07:d9#1_value,c4:41:1e:fa:07:d9#1_error,c4:41:1e:fa:07:d9#1_samples_averaged,cc:f4:11:47:ef:eb#1_value,cc:f4:11:47:ef:eb#1_error,cc:f4:11:47:ef:eb#1_samples_averaged,cc:f4:11:47:ef:e7#1_value,cc:f4:11:47:ef:e7#1_error,cc:f4:11:47:ef:e7#1_samples_averaged
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,0,5176328534672,5.527,0.0,1,-100.0,,0,13.5,0.0,1,-100.0,,0,7.05,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,1,5176430980839,5.335,0.0,1,-100.0,,0,4.199,0.0,1,-100.0,,0,7.07,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,2,5176528893965,5.57,0.0,1,-100.0,,0,0.898,0.0,1,-100.0,,0,7.14,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,3,5176630391320,8.097,0.0,1,-100.0,,0,11.398,0.0,1,-100.0,,0,7.105,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,4,5176729854903,5.343,0.0,1,-100.0,,0,9.75,0.0,1,-100.0,,0,7.167,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,5,5176841614709,8.25,0.0,1,-100.0,,0,12.898,0.0,1,-100.0,,0,7.109,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,6,5177052339685,5.718,0.0,1,-100.0,,0,11.546,0.0,1,-100.0,,0,7.164,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,7,5177152336267,5.613,0.0,1,-100.0,,0,13.347,0.0,1,-100.0,,0,7.07,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,8,5177249000167,5.511,0.0,1,-100.0,,0,7.046,0.0,1,-100.0,,0,7.187,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,9,5177442700240,5.378,0.0,1,-100.0,,0,9.597,0.0,1,-100.0,,0,7.136,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,10,5177550400476,5.8,0.0,1,-100.0,,0,14.699,0.0,1,-100.0,,0,7.042,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,11,5177653499068,6.597,0.0,1,-100.0,,0,16.949,0.0,1,-100.0,,0,7.242,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,12,5177864390589,5.628,0.0,1,-100.0,,0,5.398,0.0,1,-100.0,,0,7.257,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,13,5177964847416,5.425,0.0,1,-100.0,,0,13.648,0.0,1,-100.0,,0,7.167,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,14,5178066560022,5.66,0.0,1,-100.0,,0,0.75,0.0,1,-100.0,,0,7.148,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,15,5178169733973,6.597,0.0,1,-100.0,,0,11.398,0.0,1,-100.0,,0,7.144,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,16,5178274041305,5.738,0.0,1,-100.0,,0,2.699,0.0,1,-100.0,,0,7.222,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,17,5178386206222,6.898,0.0,1,-100.0,,0,6.148,0.0,1,-100.0,,0,7.203,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,18,5178472211675,5.578,0.0,1,-100.0,,0,10.199,0.0,1,-100.0,,0,7.078,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,19,5178579269617,5.574,0.0,1,-100.0,,0,17.097,0.0,1,-100.0,,0,7.226,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,20,5178692337773,5.558,0.0,1,-100.0,,0,3.597,0.0,1,-100.0,,0,7.07,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,21,5178893807419,7.796,0.0,1,-100.0,,0,10.5,0.0,1,-100.0,,0,7.105,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,22,5178990340540,8.25,0.0,1,-100.0,,0,8.847,0.0,1,-100.0,,0,7.16,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,23,5179092467249,5.312,0.0,1,-100.0,,0,13.796,0.0,1,-100.0,,0,7.093,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,24,5179302546107,5.699,0.0,1,-100.0,,0,7.199,0.0,1,-100.0,,0,7.085,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,25,5179398087529,5.824,0.0,1,-100.0,,0,3.449,0.0,1,-100.0,,0,6.98,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,26,5179512370895,5.535,0.0,1,-100.0,,0,14.25,0.0,1,-100.0,,0,6.835,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,27,5179603518967,8.546,0.0,1,-100.0,,0,4.648,0.0,1,-100.0,,0,6.91,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,28,5179705098638,5.468,0.0,1,-100.0,,0,10.648,0.0,1,-100.0,,0,6.953,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,29,5179816994309,8.699,0.0,1,-100.0,,0,8.847,0.0,1,-100.0,,0,6.929,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,30,5180015997564,5.382,0.0,1,-100.0,,0,10.5,0.0,1,-100.0,,0,6.992,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,31,5180126320765,9.0,0.0,1,-100.0,,0,0.75,0.0,1,-100.0,,0,6.835,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,32,5180219486415,5.527,0.0,1,-100.0,,0,13.347,0.0,1,-100.0,,0,6.871,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,33,5180438975307,5.289,0.0,1,-100.0,,0,10.046,0.0,1,-100.0,,0,7.003,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,34,5180526677211,7.046,0.0,1,-100.0,,0,13.347,0.0,1,-100.0,,0,6.984,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,35,5180630659714,5.406,0.0,1,-100.0,,0,10.648,0.0,1,-100.0,,0,6.89,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,36,5180834948940,5.703,0.0,1,-100.0,,0,13.949,0.0,1,-100.0,,0,6.968,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,37,5180940475266,9.148,0.0,1,-100.0,,0,7.5,0.0,1,-100.0,,0,6.945,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,38,5181049093390,7.5,0.0,1,-100.0,,0,9.597,0.0,1,-100.0,,0,6.98,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,39,5181136324754,5.414,0.0,1,-100.0,,0,10.347,0.0,1,-100.0,,0,7.074,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,40,5181241824021,5.687,0.0,1,-100.0,,0,15.296,0.0,1,-100.0,,0,7.093,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,41,5181345169643,5.789,0.0,1,-100.0,,0,8.847,0.0,1,-100.0,,0,7.164,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,42,5181551887091,5.562,0.0,1,-100.0,,0,10.046,0.0,1,-100.0,,0,7.07,0.0,1
5802,0.0,5.0,0.0,google,Pixel 6 Pro,2.0,43,5181659874396,7.796,0.0,1,-100.0,,0,12.449,0.0,1,-100.0,,0,7.027,0.0,1
